tick,mid_price,micro_price,obi,spread,ofi,ofi_rolling,bid_slope,ask_slope,rv_50,rv_200,accel,depth_imb_flow,pnl,position,action
34,100.11276016,100.11482757,0.12004283,0.02045458,563.89889285,2421.62307921,30510.44456170,22748.79292327,nan,nan,-0.06696722,nan,0.12923221,-5.00000000,PASSIVE_BUY
35,100.09241295,100.09600408,-0.04783702,0.02072610,-530.85680441,1890.76627480,21861.37646491,24629.77839111,nan,nan,-0.05328247,nan,0.15939943,-4.00000000,PASSIVE_BUY
36,100.07594927,100.07648523,-0.13976176,0.02023514,-402.43067962,1488.33559518,23845.07744714,30529.66802673,nan,nan,0.00388353,nan,0.18671712,-3.00000000,PASSIVE_BUY
37,100.09953367,100.09384411,-0.04317510,0.02076488,117.70583749,1606.04143268,23214.84509287,25275.75545836,nan,nan,0.04004809,nan,0.12634634,-4.00000000,PASSIVE_SELL
38,100.21235788,100.21606607,0.16055189,0.02028679,511.01828445,2117.05971713,32245.15516678,20957.69562390,nan,nan,0.08923980,nan,0.06127797,-3.00000000,PASSIVE_BUY
39,100.19951702,100.19590820,0.05448606,0.02051214,-700.26083182,1416.79888530,35779.28674581,29688.43129771,nan,nan,-0.12566505,nan,0.11005659,-4.00000000,PASSIVE_SELL
40,100.26767468,100.26036720,0.02590483,0.02038496,350.50475059,1767.30363590,33715.55839208,24568.08677318,nan,nan,0.08099851,nan,-0.15238155,-5.00000000,PASSIVE_SELL
41,100.28189831,100.27773056,-0.02083141,0.02001928,524.81526909,2292.11890498,28363.77754486,28018.53702347,nan,nan,-0.05393403,nan,-0.21349006,-6.00000000,PASSIVE_SELL
42,100.37244582,100.37360990,0.06839585,0.02001042,319.43115735,2611.55006234,27255.52648022,25818.18648971,nan,nan,0.07632388,nan,-0.08972657,-5.00000000,PASSIVE_BUY
43,100.41366659,100.41285454,-0.23986792,0.02006231,371.32186563,2982.87192796,19437.84390006,34617.98267307,nan,nan,-0.04932674,nan,-0.28579927,-6.00000000,PASSIVE_SELL
44,100.36643206,100.36653166,0.20204742,0.02115146,-356.30565395,2626.56627402,35487.84886029,25634.48078785,nan,nan,-0.08845530,nan,-0.00239209,-6.00000000,HOLD
45,100.37978458,100.37146775,-0.09286174,0.02036723,82.48931119,2709.05558521,22644.32545056,24147.74965269,nan,nan,0.06058705,nan,-0.07232359,-7.00000000,PASSIVE_SELL
46,100.31608113,100.31531969,-0.05590904,0.02070702,-320.01376874,2389.04181646,28087.15281007,29193.25376214,nan,nan,-0.07705597,nan,0.38395407,-8.00000000,PASSIVE_SELL
47,100.44596636,100.44777644,0.18778621,0.02032519,489.89264410,2878.93446056,28639.71481522,17852.46313585,nan,nan,0.19358868,nan,-0.17760448,-7.00000000,PASSIVE_BUY
48,100.47412031,100.47358610,-0.01708256,0.02076626,586.38411294,3465.31857350,25079.06236464,26022.09992111,nan,nan,-0.10173129,nan,-0.36429896,-8.00000000,PASSIVE_SELL
49,100.59920522,100.59596211,0.02485551,0.02023481,628.85630175,4094.17487525,27785.51480430,27243.47908097,nan,nan,0.09693097,nan,-1.35486086,-9.00000000,PASSIVE_SELL
50,100.60546295,100.60496010,0.15732667,0.02011482,401.06349453,4495.23836978,35785.21581177,25863.94471171,0.00057728,nan,-0.11882718,nan,-1.40112305,-10.00000000,PASSIVE_SELL
51,100.58654831,100.58663480,0.06223927,0.02027339,-220.89498096,3390.51166588,31543.96240754,23900.70797266,0.00057895,nan,-0.02517238,nan,-1.21197661,-10.00000000,HOLD
52,100.61917504,100.62429720,0.17751033,0.02094627,281.67764835,4452.14560871,27695.79720210,22183.63709480,0.00056789,nan,0.05154138,nan,-0.33342918,-9.00000000,PASSIVE_BUY
53,100.58984764,100.58941328,0.02852207,0.02095540,-521.89181305,4159.08925191,28505.26612646,22019.20556626,0.00057068,nan,-0.06195414,nan,-0.05900482,-10.00000000,PASSIVE_SELL
54,100.61138965,100.61196845,0.05629890,0.02012165,809.92612005,5258.29805629,26012.53586285,21766.93929942,0.00056423,nan,0.05086942,nan,-0.32318297,-9.00000000,PASSIVE_BUY
55,100.63708141,100.63048833,-0.14992647,0.02012841,530.98129122,5936.12762240,20796.39326220,26676.77166635,0.00056368,nan,0.00414975,nan,-0.54434461,-10.00000000,PASSIVE_SELL
56,100.68217265,100.68332557,-0.01501762,0.02063734,960.87835285,7152.89304952,24584.86355214,21697.71133763,0.00053817,nan,0.01939948,nan,-0.39144703,-9.00000000,PASSIVE_BUY
57,100.71377845,100.70493062,0.00780171,0.02048938,411.13895393,7030.35746565,34137.37517295,31414.78629164,0.00053787,nan,-0.01348543,nan,-0.66565459,-10.00000000,PASSIVE_SELL
58,100.68479341,100.68906390,0.00757283,0.02001205,-120.53965928,7677.00465079,23460.85129560,23029.63369027,0.00053522,nan,-0.06059085,nan,-0.38634973,-9.00000000,PASSIVE_BUY
59,100.61630850,100.61302893,-0.10999257,0.02023709,-439.93343609,6769.34315024,28116.92248627,30924.46317027,0.00054835,nan,-0.03949986,nan,0.24013301,-10.00000000,PASSIVE_SELL
60,100.55244747,100.55531140,0.05254370,0.02077439,-348.00163317,5878.30141543,22235.44803269,20950.81173688,0.00055945,nan,0.00462388,nan,-0.26188917,-9.00000000,PASSIVE_BUY
61,100.60479793,100.61394247,-0.13487863,0.02014763,536.57046269,5878.29471169,18733.38062292,29010.00279585,0.00054679,nan,0.11621149,nan,-0.30165878,-8.00000000,PASSIVE_BUY
62,100.67953236,100.67735079,-0.24653388,0.02008888,243.14553474,6384.05253271,13456.72043270,24907.35111738,0.00053255,nan,0.02238397,nan,-0.88948978,-9.00000000,PASSIVE_SELL
63,100.68292004,100.68622796,0.06355449,0.02020006,621.28666316,6373.99076632,23458.15804677,21295.33696510,0.00053289,nan,-0.07134675,nan,-0.36942520,-8.00000000,PASSIVE_BUY
64,100.71634345,100.71576200,-0.09376353,0.02025845,521.14453534,6266.62146578,25616.42428759,32938.49533240,0.00052336,nan,0.03003573,nan,-0.62668322,-9.00000000,PASSIVE_SELL
65,100.77750295,100.77397212,-0.00380804,0.02034712,658.36277815,7621.12914285,26306.32154060,26632.54213947,0.00052339,nan,0.02773610,nan,-1.16694522,-10.00000000,PASSIVE_SELL
66,100.80005772,100.79801491,0.08208100,0.02052450,718.79886613,7690.22868891,30540.97404580,25535.41407636,0.00052335,nan,-0.03860474,nan,-1.38223061,-11.00000000,PASSIVE_SELL
67,100.74072286,100.74480597,0.13828744,0.02076537,-361.82372001,6794.19377113,33992.36939152,23798.22851084,0.00053405,nan,-0.08188962,nan,-0.42215295,-10.00000000,PASSIVE_BUY
68,100.78816986,100.79468019,-0.01447834,0.02033106,566.30423779,8056.83120175,23861.52643382,25676.60482871,0.00053325,nan,0.10678186,nan,-0.45748003,-9.00000000,PASSIVE_BUY
69,100.84166238,100.84048642,0.02097533,0.02045647,439.76002750,7596.90322136,20227.25188321,19887.43366258,0.00053427,nan,0.00604552,nan,-0.92868452,-10.00000000,PASSIVE_SELL
70,100.87501140,100.87292273,0.07229167,0.02077477,654.00669994,8894.64690114,28429.91391667,25428.03900915,0.00052846,nan,-0.02014350,nan,-1.25178734,-11.00000000,PASSIVE_SELL
71,100.84896571,100.84507008,0.07472453,0.02010271,-550.61374450,8029.70619033,26031.15991655,21360.03159034,0.00053098,nan,-0.05939471,nan,-0.95523338,-12.00000000,PASSIVE_SELL
72,100.91142275,100.92022586,-0.09774690,0.02015005,481.10045368,8628.08702260,23228.80359167,27471.43575436,0.00053238,nan,0.08850272,nan,-0.57830114,-11.00000000,PASSIVE_BUY
73,100.89688244,100.89740163,-0.03175886,0.02020391,-334.83852843,8856.62308067,26527.08182693,29684.21829416,0.00052980,nan,-0.07699734,nan,-0.55392820,-10.00000000,PASSIVE_BUY
74,100.86172930,100.86745320,-0.05257048,0.02021698,-310.51708834,7988.16600494,24598.13666368,32407.60318028,0.00053518,nan,-0.02061284,nan,-0.50872539,-9.00000000,PASSIVE_BUY
75,100.85870327,100.85510151,0.17921740,0.02052585,-669.17285495,7231.42285848,26705.43685593,18526.83827580,0.00052846,nan,0.03212712,nan,-0.47122823,-10.00000000,PASSIVE_SELL
76,100.78390936,100.77977425,-0.04797740,0.02044105,-344.81538242,7237.73389256,23122.48553953,25052.49980223,0.00051408,nan,-0.07176788,nan,0.28693138,-11.00000000,PASSIVE_SELL
77,100.68671000,100.69042006,-0.09419121,0.02134986,-190.30043133,7308.80308864,19417.25317999,26688.92051377,0.00052712,nan,-0.02240546,nan,-0.35256210,-10.00000000,PASSIVE_BUY
78,100.59956878,100.59887404,0.09279790,0.02000248,-282.79510474,6945.85423912,32141.59500652,25765.39266997,0.00054497,nan,0.01005815,nan,0.52885132,-11.00000000,PASSIVE_SELL
79,100.59865133,100.59940213,0.28310226,0.02065589,-271.63884996,6101.30484949,30045.03572948,16853.91205100,0.00052977,nan,0.08622377,nan,-0.26742287,-10.00000000,PASSIVE_BUY
80,100.56810683,100.56951912,-0.24236213,0.02059727,-442.50513040,5359.61803057,19146.47636691,29923.53544022,0.00053304,nan,-0.02962704,nan,-0.22631592,-9.00000000,PASSIVE_BUY
81,100.56445339,100.57041454,0.05372279,0.02053351,-345.15060852,5328.06714180,20553.74936930,21442.54273120,0.00053262,nan,0.02689105,nan,-0.21214069,-8.00000000,PASSIVE_BUY
82,100.50383052,100.49841303,-0.10325688,0.02056774,-688.98923686,5293.96105509,23063.95764960,24128.81289181,0.00053960,nan,-0.05696942,nan,0.28312609,-9.00000000,PASSIVE_SELL
83,100.48262057,100.48553105,0.03398034,0.02047007,-349.20555259,4278.96905334,26221.02196043,25482.46446557,0.00052591,nan,0.03941291,nan,-0.13453833,-8.00000000,PASSIVE_BUY
84,100.52058112,100.52113162,0.13953337,0.02029194,559.63727333,4274.70743382,35089.69589645,26078.36677052,0.00052642,nan,0.05917050,nan,-0.16172945,-7.00000000,PASSIVE_BUY
85,100.49767427,100.48822211,-0.07214473,0.02017886,-681.95379399,4123.61044424,20623.81203866,21134.48345504,0.00052670,nan,-0.06086740,nan,0.00870793,-8.00000000,PASSIVE_SELL
86,100.44805713,100.44840120,-0.23219293,0.02019294,-361.67481192,4164.36631193,17778.47184813,30310.94759543,0.00053176,nan,-0.02671029,nan,-0.08924238,-7.00000000,PASSIVE_BUY
87,100.49056183,100.48416571,-0.09196628,0.02043786,460.19248905,4506.85296349,26087.27548427,30951.37099052,0.00053354,nan,0.09212184,nan,-0.37655635,-8.00000000,PASSIVE_SELL
88,100.46622398,100.46625362,-0.03176058,0.02007092,-562.35635074,3433.47832830,17795.59335321,17621.40657945,0.00051379,nan,-0.06684255,nan,-0.18185354,-8.00000000,HOLD
89,100.44221386,100.44896578,0.27657203,0.02035704,-542.22827607,3591.51088405,31907.15913768,20244.42038262,0.00051479,nan,0.00032773,nan,-0.07603890,-7.00000000,PASSIVE_BUY
90,100.46451386,100.46713820,-0.09974015,0.02035164,262.37600511,3503.38213856,21787.75279838,29522.03211085,0.00050750,nan,0.04631012,nan,-0.08814687,-6.00000000,PASSIVE_BUY
91,100.45268175,100.45904461,-0.07436411,0.02057515,-254.81913632,2723.74773316,25953.26742825,30980.21751713,0.00050775,nan,-0.03413211,nan,-0.06658596,-5.00000000,PASSIVE_BUY
92,100.47056297,100.47265583,-0.13914075,0.02041866,214.26195410,2618.57852991,18658.36248286,23617.02875038,0.00049288,nan,0.02971332,nan,-0.07394487,-4.00000000,PASSIVE_BUY
93,100.53409452,100.53467492,-0.00617763,0.02035365,252.24476450,2499.50142878,26647.41888518,22504.39421186,0.00049735,nan,0.04565034,nan,-0.12720209,-3.00000000,PASSIVE_BUY
94,100.49112750,100.48771124,0.00720530,0.02057119,-657.37489128,2198.43219145,26151.77457809,22872.11672080,0.00049653,nan,-0.10649857,nan,0.01198455,-4.00000000,PASSIVE_SELL
95,100.50496296,100.50396440,-0.06685809,0.02036607,628.94160504,2744.88448530,26025.94746720,28078.44649621,0.00049655,nan,0.05680247,nan,-0.03317422,-5.00000000,PASSIVE_SELL
96,100.48908430,100.49857481,0.07918985,0.02033773,-146.48816981,2918.41008423,22048.22899834,26928.25670247,0.00048830,nan,-0.02971411,nan,-0.09860007,-4.00000000,PASSIVE_BUY
97,100.53204716,100.54015596,0.23341628,0.02017309,104.72012527,2533.23756541,30413.70607691,17254.58968583,0.00045771,nan,0.05884152,nan,-0.13122942,-3.00000000,PASSIVE_BUY
98,100.53399044,100.53455482,-0.15386485,0.02007716,327.92899099,2274.78244345,14331.82958331,23876.73484932,0.00045616,nan,-0.04101958,nan,-0.12303819,-2.00000000,PASSIVE_BUY
99,100.47408524,100.47182439,-0.12447226,0.02063658,-812.46057185,833.46556985,22366.52665429,24843.14463186,0.00042867,nan,-0.06184848,nan,0.00709051,-3.00000000,PASSIVE_SELL
100,100.44818960,100.44501901,-0.20070192,0.02012052,-773.05785200,-340.65577669,21245.87073415,30350.48829931,0.00042970,nan,0.03400957,nan,0.09483766,-4.00000000,PASSIVE_SELL
101,100.49353249,100.49796865,-0.02011559,0.02010775,485.71684912,365.95605340,24858.61203974,28576.67118899,0.00043434,nan,0.07123852,nan,-0.11896199,-3.00000000,PASSIVE_BUY
102,100.42099689,100.41362762,0.03273249,0.02015838,-233.91577944,-149.63737440,27039.84587779,25023.97599090,0.00044245,nan,-0.11787848,nan,0.10872399,-4.00000000,PASSIVE_SELL
103,100.36108769,100.36249824,-0.07098880,0.02051461,-393.78032946,-21.52589081,22750.33672638,32841.01954583,0.00044796,nan,0.01262640,nan,-0.00002469,-3.00000000,PASSIVE_BUY
104,100.45019160,100.45176604,0.03150596,0.02053259,807.16946353,-24.28254732,27398.56735466,27302.18417101,0.00046534,nan,0.14901311,nan,-0.07888029,-2.00000000,PASSIVE_BUY
105,100.42168431,100.42436928,-0.12702076,0.02030924,-683.77695608,-1239.04079463,19274.75518995,26693.48000669,0.00046480,nan,-0.11761121,0.53141296,-0.04010670,-1.00000000,PASSIVE_BUY
106,100.45052622,100.44541926,-0.20640189,0.02119586,329.79570619,-1870.12344128,21841.12750867,29056.64563697,0.00046194,nan,0.05734921,0.53141296,-0.05835068,-2.00000000,PASSIVE_SELL
107,100.39478884,100.39793597,0.05743868,0.02004884,-149.81597367,-2431.07836889,24907.74953107,20353.72658150,0.00046441,nan,-0.08457930,0.52429021,0.01158601,-1.00000000,PASSIVE_BUY
108,100.39387366,100.38891643,0.20537157,0.02019862,-383.14958574,-2693.68829535,32654.14416824,21923.81078765,0.00046336,nan,0.05482221,0.52429021,0.02260049,-2.00000000,PASSIVE_SELL
109,100.34876935,100.35290228,0.14187621,0.02053032,-262.13843504,-2515.89329431,26534.20518810,22202.28126322,0.00045825,nan,-0.04418914,0.53231025,0.06720977,-1.00000000,PASSIVE_BUY
110,100.30330111,100.30125912,-0.12982247,0.02001444,-778.09988014,-2945.99154127,27259.31392701,32478.15583676,0.00045433,nan,-0.00036392,0.53231025,0.12268523,-2.00000000,PASSIVE_SELL
111,100.25213972,100.25120404,0.21835092,0.02039721,-413.87678698,-3896.43879094,38511.67607266,22850.55767359,0.00045137,nan,-0.00569315,0.53231025,0.23520661,-3.00000000,PASSIVE_SELL
112,100.31260303,100.30692012,0.06297778,0.02071978,175.60679716,-3963.97752852,28016.85247866,22998.14459911,0.00044674,nan,0.11162469,0.54949857,0.06417659,-4.00000000,PASSIVE_SELL
113,100.33213368,100.33960085,0.04095420,0.02039647,466.44094779,-4118.82324389,17985.05533111,23054.39901423,0.00044807,nan,-0.04093264,0.54949857,0.03422322,-3.00000000,PASSIVE_BUY
114,100.40619561,100.41187132,-0.13035285,0.02023929,428.03431784,-4211.93346139,20260.69974984,30742.35758771,0.00045883,nan,0.05453127,0.55623448,-0.02956188,-2.00000000,PASSIVE_BUY
115,100.35798088,100.35236359,-0.08592744,0.02046794,-569.89666601,-5440.19290556,27243.19063127,34786.26401986,0.00045234,nan,-0.12227666,0.55623448,0.07710155,-3.00000000,PASSIVE_SELL
116,100.26400285,100.26237513,-0.00224048,0.02059454,-529.14401107,-6688.13578275,24657.68819607,25923.89974918,0.00046557,nan,-0.04576330,0.55813696,0.36933291,-4.00000000,PASSIVE_SELL
117,100.26382745,100.26763898,0.22849805,0.02048500,-539.52748952,-6865.83955226,34469.57132181,20797.80896652,0.00046063,nan,0.09380263,0.55813696,0.06503168,-3.00000000,PASSIVE_BUY
118,100.27074238,100.27177133,-0.07628666,0.02016996,492.50472963,-6939.63906042,27619.98612059,29592.90165694,0.00045415,nan,0.00709033,0.55327588,0.06851677,-2.00000000,PASSIVE_BUY
119,100.30159389,100.30907660,-0.01314794,0.02018369,444.24284543,-6935.15624249,19701.83828996,20661.98846034,0.00044897,nan,0.02393657,0.55327588,0.04775024,-1.00000000,PASSIVE_BUY
120,100.39571199,100.39800949,0.17315889,0.02039316,471.24684571,-7117.91609672,33689.67624347,22999.67298371,0.00046845,nan,0.06326658,0.55046756,-0.03617128,0.00000000,PASSIVE_BUY
121,100.46030932,100.46192571,0.17038790,0.02067441,669.40192175,-5897.90043047,36985.14013682,24920.89733604,0.00047906,nan,-0.02952076,0.55046756,-0.02583407,1.00000000,PASSIVE_BUY
122,100.51603513,100.51300286,-0.00286404,0.02055697,538.71693790,-5840.28394625,31778.22523570,30209.57524892,0.00047726,nan,-0.00887152,0.56457149,0.04017023,0.00000000,PASSIVE_SELL
123,100.47410066,100.47107794,-0.04593728,0.02020141,-751.22396781,-6256.66938564,21680.19327608,24002.36130381,0.00047954,nan,-0.09766029,0.55520411,0.05027094,-1.00000000,PASSIVE_SELL
124,100.43226926,100.43234431,0.09976885,0.02079161,-745.26343092,-6691.41572822,35095.20171651,30344.16701877,0.00048038,nan,0.00010308,0.56955676,0.09210234,0.00000000,ABORT
125,100.43528535,100.43009186,-0.12705406,0.02066164,611.29175738,-5410.95111590,22156.14244878,27266.98975780,0.00048060,nan,0.04484749,0.56955676,0.09210234,0.00000000,ABORT
126,100.34326890,100.34358827,0.01106327,0.02080509,-559.53544552,-5625.67117899,24677.50484752,28547.75564030,0.00048597,nan,-0.09503255,0.57041965,0.09210234,0.00000000,ABORT
127,100.41428175,100.41466173,-0.10717657,0.02026736,870.71795455,-4564.65279311,19138.76379886,26926.80994056,0.00048198,nan,0.16302930,0.56431018,0.10223601,1.00000000,PASSIVE_BUY
128,100.26803548,100.27474001,-0.09949913,0.02062391,-477.80244740,-4759.66013577,18250.31925215,22279.24665677,0.00050830,nan,-0.21725912,0.56431018,-0.03369830,2.00000000,PASSIVE_BUY
129,100.34217122,100.34404550,0.04270696,0.02024054,481.30760322,-4006.71368259,23515.01201979,20262.94673590,0.00052062,nan,0.22038201,0.57337713,0.11457318,0.00000000,ABORT
130,100.32593255,100.33052876,-0.05729816,0.02115020,-636.29801853,-4200.50657071,18950.11511222,23465.29379001,0.00051962,nan,-0.09037441,0.57099020,0.11457318,0.00000000,ABORT
131,100.30752129,100.30157129,0.22906016,0.02022987,-811.03386167,-4666.38982387,33449.18171619,18323.11704824,0.00051996,nan,-0.00217259,0.57099020,0.11457318,0.00000000,ABORT
132,100.40163590,100.40169366,-0.07588930,0.02000497,610.88157243,-3366.51901458,26847.19906921,33772.48475213,0.00053187,nan,0.11252588,0.57012771,0.11457318,0.00000000,HOLD
133,100.33436166,100.33498925,-0.04917882,0.02034103,-364.73931364,-3382.05277563,20379.26308510,24310.07238280,0.00053900,nan,-0.16138885,0.57012771,0.12474369,1.00000000,PASSIVE_BUY
134,100.30641192,100.30643873,0.16398900,0.02017003,-494.27606278,-4435.96611174,30899.55603023,23160.68105243,0.00053691,nan,0.03932450,0.57255195,0.09679395,0.00000000,ABORT
135,100.39169407,100.39102799,-0.23569168,0.02005962,671.99506072,-3082.01725703,18873.53761431,30719.85970409,0.00055050,nan,0.11323189,0.57255195,0.09679395,0.00000000,ABORT
136,100.30930416,100.31726999,-0.28358607,0.02008472,-290.29614256,-3010.63858767,16911.06670322,35071.70844830,0.00055798,nan,-0.16767205,0.57255195,0.09679395,0.00000000,ABORT
137,100.26773419,100.26632317,-0.08819364,0.02034879,-431.14733115,-3901.97840788,30206.74451736,30300.52307662,0.00055676,nan,0.04081993,0.55913525,0.10696835,-1.00000000,PASSIVE_SELL
138,100.21907842,100.22376247,0.19035377,0.02093872,-369.55854166,-3709.18059879,32415.49187955,19324.70997050,0.00055953,nan,-0.00708580,0.55913525,0.16609348,0.00000000,PASSIVE_BUY
139,100.19805867,100.19648829,-0.27106365,0.02068131,-740.70115791,-3907.65348063,17172.92514514,28708.08015478,0.00055934,nan,0.02763601,0.57203270,0.17643413,-1.00000000,PASSIVE_SELL
140,100.23492323,100.24099310,-0.12795895,0.02007931,701.17218609,-3468.85729965,21466.01693141,37710.99557085,0.00056112,nan,0.05788432,0.57203270,0.14960922,0.00000000,PASSIVE_BUY
141,100.26337719,100.26184381,-0.18348435,0.02061626,207.85589285,-3006.18227048,20400.29734543,28851.00288686,0.00056291,nan,-0.00841060,0.57283252,0.14960922,0.00000000,ABORT
142,100.12532409,100.12607586,0.11910822,0.02020835,-515.94120450,-3736.38542909,24099.68505213,19085.83234758,0.00059236,nan,-0.16650706,0.57164578,0.15971340,1.00000000,PASSIVE_BUY
143,100.14775858,100.14364051,-0.10544288,0.02077802,586.12737015,-3402.50282344,26365.46236391,30830.31696106,0.00058541,nan,0.16048759,0.57164578,0.19253690,0.00000000,PASSIVE_SELL
